Name,IPEDS_UNITID,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,Sources3,Sources4
Ambuj K. Singh,110705,University of California - Santa Barbara,2000,Full,Data Mining,Indian Institute of Technology - Kharagpur - India,Iowa State University - USA,University of Texas - Austin - USA,,http://www.cs.ucsb.edu/~ambuj/,,,
Amr El Abbadi,110705,University of California - Santa Barbara,,Full,Databases,,,Cornell University - USA,,http://www.cs.ucsb.edu/~amr/,,,
Ben Hardekopf,110705,University of California - Santa Barbara,2009,Assistant,Programming Languages,,,University of Texas - Austin - USA,,http://www.cs.ucsb.edu/~benh/,http://www.cs.utexas.edu/~lin/,,
Ben Y. Zhao,110705,University of California - Santa Barbara,2004,Associate,Networks & Communications,Yale University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.cs.ucsb.edu/~ravenben/,,,
Chandra Krintz,110705,University of California - Santa Barbara,2001,Full,Programming Languages,,University of California - San Diego - USA,University of California - San Diego - USA,,http://www.cs.ucsb.edu/~ckrintz/,,,
Christopher Kruegel,110705,University of California - Santa Barbara,2008,Full,Security & Privacy,,Vienna University of Technology - Austria,Vienna University of Technology - Austria,University of California - Santa Barbara - USA,http://www.cs.ucsb.edu/~chris/,http://www.cs.ucsb.edu/~chris/doc/kruegel-vita.pdf,,
Divyakant Agrawal,110705,University of California - Santa Barbara,,Full,Databases,Birla Institute of Technology and Science - Pilani - India,State University of New York - Stony Brook - USA,State University of New York - Stony Brook - USA,,http://www.cs.ucsb.edu/~agrawal/,,,
Elizabeth Belding,110705,University of California - Santa Barbara,2009,Full,Networks & Communications,Florida State University - USA,University of California - Santa Barbara - USA,University of California - Santa Barbara - USA,,http://www.cs.ucsb.edu/~ebelding/,,,
Fred Chong,110705,University of California - Santa Barbara,,Full,Hardware & Architecture,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.ucsb.edu/~chong/,,,
Giovanni Vigna,110705,University of California - Santa Barbara,2009,Full,Security & Privacy,,Polytechnic University of Milan - Italy,Polytechnic University of Milan - Italy,University of California - Santa Barbara - USA,http://www.cs.ucsb.edu/~vigna/,,,
Heather Zheng,110705,University of California - Santa Barbara,2005,Full,Networks & Communications,Xi'an Jiaotong University - China,,University of Maryland - College Park - USA,,http://www.cs.ucsb.edu/~htzheng/,,,
Huijia (Rachel) Lin,110705,University of California - Santa Barbara,2013,Assistant,Security & Privacy,Zhejiang University - Hangzhou - China,,Cornell University - USA,Massachusetts Institute of Technology & Boston University - USA,http://www.cs.ucsb.edu/~rachel.lin/,,,
Jianwen Su,110705,University of California - Santa Barbara,1990,Full,Databases,Fudan University - Shanghai - China,Fudan University - Shanghai - China,University of Southern California - USA,,http://www.cs.ucsb.edu/~su/,,,
John Gilbert,110705,University of California - Santa Barbara,2002,Full,Scientific Computing,University of California - Santa Barbara - USA,,Stanford University - USA,,http://www.cs.ucsb.edu/people/faculty/,,,
Kevin Almeroth,110705,University of California - Santa Barbara,,Full,Networks & Communications,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://www.cs.ucsb.edu/~almeroth/,,,
Linda Petzold,110705,University of California - Santa Barbara,2003,Full,Scientific Computing,University of Illinois at Urbana-Champaign - USA,,University of Illinois at Urbana-Champaign - USA,,http://www.engineering.ucsb.edu/~cse/,,,
Matthew Turk,110705,University of California - Santa Barbara,2000,Full,Computer Vision,Virginia Polytechnic Institute and State University - USA,Carnegie Mellon University - USA,Massachusetts Institute of Technology - USA,,http://www.cs.ucsb.edu/~mturk/,,,
Omer Egecioglu,110705,University of California - Santa Barbara,1985,Full,Algorithms & Theory,,University of Minnesota - Twin Cities - USA,University of California - San Diego - USA,,http://www.cs.ucsb.edu/~omer/,,,
Peter Cappello,110705,University of California - Santa Barbara,,Full,Distributed & Parallel Computing,,,Princeton University - USA,,http://www.cs.ucsb.edu/~cappello/,,,
Richard A. Kemmerer,110705,University of California - Santa Barbara,1979,Full,Security & Privacy,Pennsylvania State University - USA,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,http://www.cs.ucsb.edu/~kemm/,,,
Richard Wolski,110705,University of California - Santa Barbara,2001,Full,Distributed & Parallel Computing,California Polytechnic State University - USA,University of California - Davis - USA,University of California - Davis - USA,,http://www.cs.ucsb.edu/~rich/,,,
Stefano Tessaro,110705,University of California - Santa Barbara,2013,Assistant,Security & Privacy,Eidgenossische Technische Hochschule - Zurich - Switzerland,Eidgenossische Technische Hochschule - Zurich - Switzerland,Eidgenossische Technische Hochschule - Zurich - Switzerland,University of California - San Diego & Massachusetts Institute of Technology - USA,http://www.cs.ucsb.edu/~tessaro/,,,
Subhash Suri,110705,University of California - Santa Barbara,,Full,Algorithms & Theory,Indian Institute of Technology - Roorkee - India,,Johns Hopkins University - USA,,http://www.cs.ucsb.edu/~suri/,,,
Tao Yang,110705,University of California - Santa Barbara,1993,Full,Operating Systems,Zhejiang University - Hangzhou - China,Zhejiang University - Hangzhou - China,Rutgers - State University of New Jersey - New Brunswick - USA,,http://www.cs.ucsb.edu/~tyang/,,,
Teofilo Gonzalez,110705,University of California - Santa Barbara,2011,Full,Algorithms & Theory,Monterrey Institute of Technology and Higher Education - Mexico,,University of Minnesota - Twin Cities - USA,,http://www.cs.ucsb.edu/~teo/,,,
Tevfik Bultan,110705,University of California - Santa Barbara,2009,Full,Programming Languages,Middle East Technical University - Ankara - Turkey,Bilkent University - Turkey,University of Maryland - College Park - USA,,http://www.cs.ucsb.edu/~bultan/,,,
Theodore Kim,110705,University of California - Santa Barbara,2011,Assistant,Graphics,,,University of North Carolina - Chapel Hill - USA,,http://www.cs.ucsb.edu/people/faculty/,,,
Tim Sherwood,110705,University of California - Santa Barbara,2003,Full,Hardware & Architecture,University of California - Davis - USA,University of California - San Diego - USA,University of California - San Diego - USA,,http://www.engineering.ucsb.edu/~sherwood/,,,
Tobias Hollerer,110705,University of California - Santa Barbara,2002,Full,Computer Vision,Princeton University - USA,Princeton University - USA,Columbia University - USA,Princeton University - USA,http://www.cs.ucsb.edu/~holl/,,,
Wim van Dam,110705,University of California - Santa Barbara,2004,Associate,Algorithms & Theory,Radboud University Nijmegen - Netherlands,Radboud University Nijmegen - Netherlands,University of Amsterdam,University of California - Berkeley - USA,http://www.cs.ucsb.edu/~vandam/,,,
Xifeng Yan,110705,University of California - Santa Barbara,,Associate,Data Mining,,,University of Illinois at Urbana-Champaign - USA,,http://www.cs.ucsb.edu/~xyan/,,,
Yuan-Fang Wang,110705,University of California - Santa Barbara,1987,Full,Computer Vision,National Taiwan University - Taipei - Taiwan,University of Texas - Austin - USA,University of Texas - Austin - USA,,http://www.cs.ucsb.edu/~yfwang/,,,
Alexander Razborov,144050,University of Chicago,2008,Full,Algorithms & Theory,Moscow State University - Russia,,Steklov Mathematical Institute - Russia,Steklov Mathematical Institute - Russia,http://www.cs.uchicago.edu/people/razborov,,,
Andrew Chien,144050,University of Chicago,2012,Full,Networks & Communications,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.uchicago.edu/people/aachien,,,
Anne Rogers,144050,University of Chicago,2007,Associate,Computer Education,,,University of Chicago - USA,,http://www.cs.uchicago.edu/people/amr,,,
Gordon Kindlmann,144050,University of Chicago,2004,Assistant,Scientific Computing,Cornell University - USA,Cornell University - USA,University of Utah - USA,Harvard Medical School,http://www.cs.uchicago.edu/people/glk,,,
Gregory Shakhnarovich,144050,University of Chicago,2008,Assistant,Machine Learning & Pattern Recognition,Hebrew University of Jerusalem - Israel,Technion-Israel Institute of Technology - Israel,Massachusetts Institute of Technology - USA,Brown University - USA,http://www.cs.uchicago.edu/people/shakhnarovich,,,
Haryadi Gunawi,144050,University of Chicago,2012,Assistant,Operating Systems,University of Wisconsin - Madison - USA,,University of Wisconsin - Madison - USA,University of California - Berkeley - USA,http://www.cs.uchicago.edu/people/haryadi,,,
Henry Hoffmann,144050,University of Chicago,2013,Assistant,Computer Education,University of North Carolina - Chapel Hill - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,http://www.cs.uchicago.edu/people/hankhoffmann,,,
Ian Foster,144050,University of Chicago,2006,Full,Distributed & Parallel Computing,,,University of Chicago - USA,,http://www.cs.uchicago.edu/people/foster,,,
Janos Simon,144050,University of Chicago,2007,Full,Algorithms & Theory,,,University of Chicago - USA,,http://www.cs.uchicago.edu/people/simon,,,
Jinbo Xu,144050,University of Chicago,2012,Assistant,Bioinformatics & Computational Biology,University of Science and Technology of China - China,Chinese Academy of Sciences - China,University of Waterloo - Ontario - Canada,Massachusetts Institute of Technology - USA,http://www.cs.uchicago.edu/people/xu,,,
John Goldsmith,144050,University of Chicago,1984,Full,Artificial Intelligence,Swarthmore College - USA,,Massachusetts Institute of Technology - USA,,http://www.cs.uchicago.edu/people/jagoldsm,,,
John Lafferty,144050,University of Chicago,2011,Full,Machine Learning & Pattern Recognition,,,Princeton University - USA,,http://www.cs.uchicago.edu/people/lafferty,,,
John Reppy,144050,University of Chicago,2002,Full,Scientific Computing,University of Connecticut - USA,University of Connecticut - USA,Cornell University - USA,,http://www.cs.uchicago.edu/people/jhr,,,
Julia Chuzhoy,144050,University of Chicago,2007,Associate,Algorithms & Theory,Technion-Israel Institute of Technology - Israel,Technion-Israel Institute of Technology - Israel,Technion-Israel Institute of Technology - Israel,Massachusetts Institute of Technology - USA,http://www.cs.uchicago.edu/people/cjulia,,,
Karen Livescu,144050,University of Chicago,2005,Assistant,Natural Language & Speech,Princeton University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,http://www.cs.uchicago.edu/people/klivescu,,,
Ketan Mulmuley,144050,University of Chicago,2012,Full,Scientific Computing,,,Carnegie Mellon University - USA,,http://www.cs.uchicago.edu/people/mulmuley,,,
L. Ridgway Scott,144050,University of Chicago,1998,Full,Bioinformatics & Computational Biology,Tulane University - USA,,Massachusetts Institute of Technology - USA,,http://www.cs.uchicago.edu/people/ridg,,,
Laszlo Babai,144050,University of Chicago,1987,Full,Computer Education,Hungarian Academy of Sciences - Hungary,Hungarian Academy of Sciences - Hungary,Hungarian Academy of Sciences - Hungary,Hungarian Academy of Sciences - Hungary,http://www.cs.uchicago.edu/people/laci,,,
Madhur Tulsiani,144050,University of Chicago,2013,Associate,Algorithms & Theory,Indian Institute of Technology - Kanpur - India,,University of California - Berkeley - USA,Princeton University - USA,http://www.cs.uchicago.edu/people/madhurt,,,
Michael O'Donnell,144050,University of Chicago,1985,Full,Computer Education,Purdue University - USA,,Cornell University - USA,,http://www.cs.uchicago.edu/people/odonnell,,,
Nathan Srebro,144050,University of Chicago,2013,Assistant,Programming Languages,,,University of Chicago - USA,University of Chicago - USA,http://www.cs.uchicago.edu/people/nati,,,
Raquel Urtasun,144050,University of Chicago,2014,Assistant,Computer Vision,Public University of Navarra - Spain,Public University of Navarra - Spain,École Polytechnique Fédérale de Lausanne - Switzerland,,http://www.cs.uchicago.edu/people/rurtasun,,,
Rick Stevens,144050,University of Chicago,1982,Full,Scientific Computing,Michigan State University - USA,Northwestern University - USA,University of Chicago - USA,,http://www.cs.uchicago.edu/people/stevens,,,
Risi Kondor,144050,University of Chicago,2011,Assistant,Machine Learning & Pattern Recognition,University of Cambridge - United Kingdom,Carnegie Mellon University - USA,Columbia University - USA,University College London - United Kingdom,http://www.cs.uchicago.edu/people/risi,,,
Robert Soare,144050,University of Chicago,1975,Full,Algorithms & Theory,Princeton University - USA,,Cornell University - USA,,http://www.cs.uchicago.edu/people/soare,,,
